Region,Channel,Event,Timestamp,animal.ID,Trial,index,Signal,Reference,zdFF
Region1G,470,FD,19.30000000000056,B1715,5,35376,0.04001634,0.036955532,0.7931268169717365
Region1G,470,FD,19.40000000000056,B1715,5,35377,0.040169818,0.037339519,0.7533253525757411
Region1G,470,FD,19.50000000000056,B1715,5,35378,0.040596989,0.037307423,0.7192991930626778
Region1G,470,FD,19.600000000000563,B1715,5,35379,0.040682773,0.036935691,0.6728694514159824
Region1G,470,FD,19.700000000000564,B1715,5,35380,0.040559641,0.037425303,0.6317262518862469
Region1G,470,FD,19.800000000000566,B1715,5,35381,0.040065359,0.037401377,0.5775501912854962
Region1G,470,FD,19.900000000000567,B1715,5,35382,0.039847689,0.037528011,0.5153374898048332
Region1G,470,FD,20.00000000000057,B1715,5,35383,0.03930789,0.037418301,0.43101526860356754
Region1G,470,FD,-20.0,B1715,6,37760,0.037089753,0.037645892,-0.2311051813020599
Region1G,470,FD,-19.9,B1715,6,37761,0.037856559,0.037374533,-0.18937739364961187
Region1G,470,FD,-19.799999999999997,B1715,6,37762,0.0385405,0.037268324,-0.09316937222961706
Region1G,470,FD,-19.699999999999996,B1715,6,37763,0.039064542,0.037907913,0.018414973170019035
Region1G,470,FD,-19.599999999999994,B1715,6,37764,0.038906979,0.037752101,0.11307746376390793
Region1G,470,FD,-19.499999999999993,B1715,6,37765,0.038919818,0.037569444,0.1835264192930564
Region1G,470,FD,-19.39999999999999,B1715,6,37766,0.040338469,0.037383287,0.23189732098184254
Region1G,470,FD,-19.29999999999999,B1715,6,37767,0.040809407,0.037579949,0.22791098118843475
Region1G,470,FD,-19.19999999999999,B1715,6,37768,0.040002918,0.037395542,0.19798355787720887
Region1G,470,FD,-19.099999999999987,B1715,6,37769,0.038893557,0.036814309,0.15771944060430085
Region1G,470,FD,-18.999999999999986,B1715,6,37770,0.038121499,0.036526027,0.11341472155000122
Region1G,470,FD,-18.899999999999984,B1715,6,37771,0.037088002,0.036267507,0.06913747117551217
Region1G,470,FD,-18.799999999999983,B1715,6,37772,0.036730275,0.035903945,-0.03288037587395873
Region1G,470,FD,-18.69999999999998,B1715,6,37773,0.036972456,0.03667542,-0.15391836954859733
Region1G,470,FD,-18.59999999999998,B1715,6,37774,0.036706933,0.036575047,-0.25057252949221154
Region1G,470,FD,-18.49999999999998,B1715,6,37775,0.037478992,0.037728175,-0.33089924468622717
Region1G,470,FD,-18.399999999999977,B1715,6,37776,0.037180205,0.038028128,-0.3917258376820301
Region1G,470,FD,-18.299999999999976,B1715,6,37777,0.036997549,0.038230042,-0.441396647015839
Region1G,470,FD,-18.199999999999974,B1715,6,37778,0.036628151,0.037332516,-0.48728663365066627
Region1G,470,FD,-18.099999999999973,B1715,6,37779,0.036762955,0.03794993,-0.5069994324063367
Region1G,470,FD,-17.99999999999997,B1715,6,37780,0.036623483,0.037589869,-0.508806688783074
