Region,Channel,Event,Timestamp,animal.ID,Trial,index,Signal,Reference,dFF,zdFF
Region0R,560,FD,19.800000000000566,B1757,5,5338,0.0310369192722134,0.0170045045045045,-0.0008634207400655877,-1.8370840092889504
Region0R,560,FD,19.900000000000567,B1757,5,5339,0.0313777012306424,0.0168101925454867,-0.0018599741299682978,-2.133305178718224
Region0R,560,FD,20.00000000000057,B1757,5,5340,0.0314248071601013,0.0168263852087382,-0.0014017517715479134,-1.997100571674363
Region0R,560,FD,-20.0,B1757,6,6331,0.0307012895248189,0.0168565624447977,0.003460312224663878,-0.551873153464055
Region0R,560,FD,-19.9,B1757,6,6332,0.031293057763646,0.016848466113172,0.003349719749564997,-0.5847462866406593
Region0R,560,FD,-19.799999999999997,B1757,6,6333,0.031346787964435,0.0169036683742566,0.0025445564647431917,-0.8240775780978236
Region0R,560,FD,-19.699999999999996,B1757,6,6334,0.0313408997232527,0.0170251133486428,0.0020376025327474455,-0.9747674338587969
Region0R,560,FD,-19.599999999999994,B1757,6,6335,0.0313975740446329,0.016988311841253,0.0030977034097773,-0.659657049720282
Region0R,560,FD,-19.499999999999993,B1757,6,6336,0.0314594005770476,0.0169139727963257,0.0028474141911945345,-0.7340544335186192
Region0R,560,FD,-19.39999999999999,B1757,6,6337,0.0310759288700465,0.0169493022434199,0.003913187151255401,-0.4172580473198332
Region0R,560,FD,-19.29999999999999,B1757,6,6338,0.0313497320850262,0.0169500382735677,0.0027767595133417903,-0.7550562298210047
Region0R,560,FD,-19.19999999999999,B1757,6,6339,0.0308065418359536,0.0166386975210505,0.0027652457225105995,-0.7584786541678954
Region0R,560,FD,-19.099999999999987,B1757,6,6340,0.0307057057057057,0.0167270211387858,0.0033818670424586713,-0.575190643369124
Region0R,560,FD,-18.999999999999986,B1757,6,6341,0.0307734204793028,0.0167792792792793,0.003800202021428949,-0.45084238672845967
Region0R,560,FD,-18.899999999999984,B1757,6,6342,0.0311384914326091,0.0169073485249956,0.0032373708416335864,-0.6181415118526205
Region0R,560,FD,-18.799999999999983,B1757,6,6343,0.0310229346994053,0.0168072484248955,0.005199741001234311,-0.034835499932088156
Region0R,560,FD,-18.69999999999998,B1757,6,6344,0.0312010539951716,0.0169257492786905,0.00511975677905673,-0.05861046278846552
Region0R,560,FD,-18.59999999999998,B1757,6,6345,0.0311671966083731,0.0168801154095272,0.0032312090217780937,-0.6199730860581778
Region0R,560,FD,-18.49999999999998,B1757,6,6346,0.0313276511805924,0.0169264853088382,0.002515478398834145,-0.8327209069707103
Region0R,560,FD,-18.399999999999977,B1757,6,6347,0.031260672437143,0.0168227050579992,0.0031272251362748534,-0.6508818446632503
Region0R,560,FD,-18.299999999999976,B1757,6,6348,0.0309853971618678,0.0168477300830242,0.00401846984436106,-0.3859632237926499
Region0R,560,FD,-18.199999999999974,B1757,6,6349,0.0312253429900489,0.0169397338514986,0.005036891672690841,-0.0832417559648212
Region0R,560,FD,-18.099999999999973,B1757,6,6350,0.0312636165577342,0.0169610787257846,0.0055668381937864705,0.07428254710262212
Region0R,560,FD,-17.99999999999997,B1757,6,6351,0.031285697462168,0.0168764352587882,0.005226760943754006,-0.026803939303031318
Region0R,560,FD,-17.89999999999997,B1757,6,6352,0.0310494317847259,0.0167976800329742,0.005687056682330375,0.11001697099231621
Region0R,560,FD,-17.79999999999997,B1757,6,6353,0.0310538479656127,0.0167218689277513,0.004432062291298426,-0.2630246642129548
Region0R,560,FD,-17.699999999999967,B1757,6,6354,0.030980980980981,0.0168101925454867,0.0045883260066895545,-0.21657595310371633
Region0R,560,FD,-17.599999999999966,B1757,6,6355,0.0309625802272861,0.0168499381734676,0.005048532968143992,-0.07978143142250987
Region0R,560,FD,-17.499999999999964,B1757,6,6356,0.031042071483248,0.0167976800329742,0.006020032134985586,0.20899247895421047
Region0R,560,FD,-17.399999999999963,B1757,6,6357,0.0311090502266973,0.0168933639521875,0.005897028452353643,0.17243016821148288
Region0R,560,FD,-17.29999999999996,B1757,6,6358,0.0311981098745805,0.0168970441029265,0.005800468886972009,0.14372825653596066
Region0R,560,FD,-17.19999999999996,B1757,6,6359,0.0312798092209857,0.0169132367661779,0.003645188550065846,-0.49691946822727673
Region0R,560,FD,-17.09999999999996,B1757,6,6360,0.0313681328387211,0.016902196313961,0.003226092483947401,-0.6214939547190981
Region0R,560,FD,-16.999999999999957,B1757,6,6361,0.0312312312312312,0.0168712830477536,0.0037009389988894668,-0.48034788930931016
Region0R,560,FD,-16.899999999999956,B1757,6,6362,0.0311083141965495,0.0168241771182948,0.0032862876675626967,-0.6036011976774773
